file	violations	top_rules
docs/phase7g/STATUS.md	2	agent_terms,internal_phase_refs
docs/phase7h/CHECKPOINTS.json	2	agent_terms,internal_phase_refs
docs/phase7h/STATUS.md	2	agent_terms,internal_phase_refs
docs/phase7i/SESSION_HANDOFF.md	2	internal_phase_refs,personal_identifiers
docs/phase7s/RELEASE_NOTES_7S.md	2	internal_phase_refs
docs/phase7t/MIGRATION_7S_to_7T.md	2	internal_phase_refs
docs/process/adr-creation-checklist.md	2	triple_backticks_in_docs
docs/quickstart.md	2	triple_backticks_in_docs
install/bootstrap.sh	2	internal_phase_refs
models/cache/scibert-scivocab-uncased/tokenizer.json	2	agent_terms,multi_agent_exposure
models/cache/scibert-scivocab-uncased/vocab.txt	2	agent_terms,multi_agent_exposure
open-darf-wc/docs/compose_vs_bare_neo4j.md	2	internal_phase_refs,secrets_like
ops/bin/neo4j_exec.sh	2	secrets_like
ops/bin/write_peer_safe_receipt.sh	2	secrets_like
ops/compose/minio/init.sh	2	secrets_like
scripts/phase7f/revocation_planner.py	2	internal_phase_refs,todo_fixme
scripts/phase7f/synthesis_orchestrator_parallel.py	2	todo_fixme
scripts/phase7i/acceptance_gate.sh	2	internal_phase_refs
scripts/scoreboard_builder.py	2	internal_phase_refs
tools/constitutional/make_evidence_pack.py	2	internal_phase_refs
tools/constitutional/reasoning/make_evidence_pack_v7d.py	2	internal_phase_refs
tools/repo_finalize.sh	2	internal_phase_refs
.env.sample	1	secrets_like
.github/PULL_REQUEST_TEMPLATE/phase7s.md	1	internal_phase_refs
.github/workflows/perf.yml	1	todo_fixme
.github/workflows/phase7f_gates.yml	1	internal_phase_refs
.gitignore	1	agent_terms
LICENSE	1	personal_identifiers
apps/constitutional/engine_v1.sh	1	secrets_like
apps/constitutional/engine_v2.sh	1	secrets_like
apps/constitutional/engine_v3.sh	1	secrets_like
apps/constitutional/engine_v3.sh.bak.20250916T213434Z	1	secrets_like
apps/constitutional/run_validation.sh	1	secrets_like
apps/relex/plmarker/README.md	1	internal_phase_refs
apps/relex/pure/README.md	1	internal_phase_refs
apps/storage/minio_cas.py	1	secrets_like
